artist1,probability_of_artist1,artist2,probability_of_artist2,shared_probability,pmi_score,pages,paragraphs,volume,pmi_activity,start,end
"Viviano, Michelagnolo di",0.0013063357282821686,"Prato, Francesco di Girolamo dal",0.0006531678641410843,0.5,9.580258567499788,[73],['91.0'],['6'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Prato, Francesco di Girolamo dal",0.0006531678641410843,"Viviano, Michelagnolo di",0.0013063357282821686,1.0,9.580258567499788,[73],['91.0'],['6'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Agnolo (of Siena),0.0013063357282821686,Agostino (of Siena),0.001959503592423253,1.0,8.995296066778632,"[99, 97]","['131.0', '129.0']","['0', '0']",pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Agostino (of Siena),0.001959503592423253,Agnolo (of Siena),0.0013063357282821686,0.6666666666666666,8.995296066778632,"[99, 97]","['131.0', '129.0']","['0', '0']",pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Bicci, Lorenzo di",0.001959503592423253,"Montepulciano, Marco da",0.0006531678641410843,0.3333333333333333,8.995296066778632,[72],['58.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Bicci, Lorenzo di",0.001959503592423253,"Lorenzo, Neri di",0.0006531678641410843,0.3333333333333333,8.995296066778632,[72],['58.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Montepulciano, Marco da",0.0006531678641410843,"Bicci, Lorenzo di",0.001959503592423253,1.0,8.995296066778632,[72],['58.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Lorenzo, Neri di",0.0006531678641410843,"Bicci, Lorenzo di",0.001959503592423253,1.0,8.995296066778632,[72],['58.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Eyck, Jan van (Johann of Bruges)",0.0006531678641410843,"Messina, Antonello da",0.001959503592423253,1.0,8.995296066778632,[62],['68.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Messina, Antonello da",0.001959503592423253,"Eyck, Jan van (Johann of Bruges)",0.0006531678641410843,0.3333333333333333,8.995296066778632,[62],['68.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Viniziano, Agostino (Agostino de' Musi)",0.001959503592423253,"Dente, Marco (Marco da Ravenna)",0.0006531678641410843,0.3333333333333333,8.995296066778632,[106],['180.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Trento, Antonio da (Antonio Fantuzzi)",0.0006531678641410843,"Carpi, Ugo da",0.001959503592423253,1.0,8.995296066778632,[107],['183.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Carpi, Ugo da",0.001959503592423253,"Trento, Antonio da (Antonio Fantuzzi)",0.0006531678641410843,0.3333333333333333,8.995296066778632,[107],['183.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Caroto, Giovanni",0.001959503592423253,"Canneri, Anselmo",0.0006531678641410843,0.3333333333333333,8.995296066778632,[22],['40.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Caroto, Giovanni",0.001959503592423253,"Caliari, Paolo (Paolo Veronese)",0.0006531678641410843,0.3333333333333333,8.995296066778632,[22],['40.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Dente, Marco (Marco da Ravenna)",0.0006531678641410843,"Viniziano, Agostino (Agostino de' Musi)",0.001959503592423253,1.0,8.995296066778632,[106],['180.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Canneri, Anselmo",0.0006531678641410843,"Caroto, Giovanni",0.001959503592423253,1.0,8.995296066778632,[22],['40.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Caliari, Paolo (Paolo Veronese)",0.0006531678641410843,"Caroto, Giovanni",0.001959503592423253,1.0,8.995296066778632,[22],['40.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Laurati, Pietro (Pietro Lorenzetti)",0.002612671456564337,"Bologhini, Bartolommeo",0.0006531678641410843,0.25,8.580258567499788,[120],['161.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Bologhini, Bartolommeo",0.0006531678641410843,"Laurati, Pietro (Pietro Lorenzetti)",0.002612671456564337,1.0,8.580258567499788,[120],['161.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Filarete, Antonio",0.002612671456564337,"Partigiani, Pagno di Lapo",0.0006531678641410843,0.25,8.580258567499788,[270],['249.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Filarete, Antonio",0.002612671456564337,"Ciuffagni, Bernardo",0.0006531678641410843,0.25,8.580258567499788,[7],['7.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Partigiani, Pagno di Lapo",0.0006531678641410843,"Filarete, Antonio",0.002612671456564337,1.0,8.580258567499788,[270],['249.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Avanzi, Jacopo (Jacopo Davanzo)",0.0013063357282821686,"Zevio, Aldigieri (Altichiero) da",0.0013063357282821686,0.5,8.580258567499788,[55],['61.0'],['3'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Fiesole, Mino da (Mino di Giovanni,",0.002612671456564337,"Settignano, Desiderio da",0.0013063357282821686,0.5,8.580258567499788,"[154, 155]","['168.0', '170.0']","['2', '2']",pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Settignano, Desiderio da",0.0013063357282821686,"Fiesole, Mino da (Mino di Giovanni,",0.002612671456564337,1.0,8.580258567499788,"[154, 155]","['168.0', '170.0']","['2', '2']",pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Ciuffagni, Bernardo",0.0006531678641410843,"Filarete, Antonio",0.002612671456564337,1.0,8.580258567499788,[7],['7.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Zevio, Aldigieri (Altichiero) da",0.0013063357282821686,"Avanzi, Jacopo (Jacopo Davanzo)",0.0013063357282821686,0.5,8.580258567499788,[55],['61.0'],['3'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Licinio, Giovanni Antonio (Cuticello, or Pordenone)",0.002612671456564337,"Amalteo, Pomponio",0.0006531678641410843,0.25,8.580258567499788,[154],['228.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Dossi, Dosso",0.002612671456564337,"Dossi, Battista",0.0013063357282821686,0.5,8.580258567499788,"[140, 141]","['205.0', '207.0']","['4', '4']",pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Amalteo, Pomponio",0.0006531678641410843,"Licinio, Giovanni Antonio (Cuticello, or Pordenone)",0.002612671456564337,1.0,8.580258567499788,[154],['228.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Marchissi, Antonio di Giorgio",0.0006531678641410843,"Fiesole, Andrea da (Andrea Ferrucci)",0.002612671456564337,1.0,8.580258567499788,[4],['2.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Fiesole, Andrea da (Andrea Ferrucci)",0.002612671456564337,"Marchissi, Antonio di Giorgio",0.0006531678641410843,0.25,8.580258567499788,[4],['2.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Dossi, Battista",0.0013063357282821686,"Dossi, Dosso",0.002612671456564337,1.0,8.580258567499788,"[140, 141]","['205.0', '207.0']","['4', '4']",pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Santa Croce, Girolamo",0.0013063357282821686,"Nola, Giovanni da",0.0013063357282821686,0.5,8.580258567499788,[137],['200.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Nola, Giovanni da",0.0013063357282821686,"Santa Croce, Girolamo",0.0013063357282821686,0.5,8.580258567499788,[137],['200.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Orcagna, Andrea di Cione",0.0032658393207054214,"Orcagna, Jacopo di Cione",0.0006531678641410843,0.2,8.258330472612426,[194],['257.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Orcagna, Andrea di Cione",0.0032658393207054214,"Orcagna, Bernardo di Cione",0.0006531678641410843,0.2,8.258330472612426,[190],['250.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Cavallini, Pietro",0.0032658393207054214,"Angelico, Fra (Fra Giovanni da Fiesole)",0.0006531678641410843,0.2,8.258330472612426,[162],['204.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Angelico, Fra (Fra Giovanni da Fiesole)",0.0006531678641410843,"Cavallini, Pietro",0.0032658393207054214,1.0,8.258330472612426,[162],['204.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Orcagna, Jacopo di Cione",0.0006531678641410843,"Orcagna, Andrea di Cione",0.0032658393207054214,1.0,8.258330472612426,[194],['257.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
