s,p,o

<http://www.wikidata.org/entity/Q11940958>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Pere Espallargues""@en"

<http://www.wikidata.org/entity/Q11940998>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Luis Pascual Gaud\u00ED""@en"

<http://www.wikidata.org/entity/Q24232864>,<http://schema.org/name>,"""Iacopo da Balsemo""@en"

<http://www.wikidata.org/entity/Q24232864>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Iacopo da Balsemo""@en"

<http://www.wikidata.org/entity/Q24232864>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Iacopo da Balsemo""@en"

<http://www.wikidata.org/entity/Q110246973>,<http://schema.org/name>,"""Ventura Mazzi""@en"

<http://www.wikidata.org/entity/Q110246973>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Ventura Mazzi""@en"

<http://www.wikidata.org/entity/Q110246973>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Ventura Mazzi""@en"

<http://www.wikidata.org/entity/Q1350937>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Francucci""@en"

<http://www.wikidata.org/entity/Q7488357>,<http://schema.org/name>,"""Shang Ting""@en"

<http://www.wikidata.org/entity/Q7488357>,<http://schema.org/description>,"""writer of Chinese Sanqu poetry (1209-1288)""@en"

<http://www.wikidata.org/entity/Q7488357>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Mengqing""@en"

<http://www.wikidata.org/entity/Q7488357>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Zuoshan""@en"

<http://www.wikidata.org/entity/Q7488357>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Shang Ting""@en"

<http://www.wikidata.org/entity/Q7488357>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Wending""@en"

<http://www.wikidata.org/entity/Q7488357>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Shang Ting""@en"

<http://www.wikidata.org/entity/Q7925228>,<http://schema.org/description>,"""Italian painter and printmaker""@en"

<http://www.wikidata.org/entity/Q559425>,<http://schema.org/description>,"""Chinese calligrapher""@en"

<http://www.wikidata.org/entity/Q45693716>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Wending""@en"

<http://www.wikidata.org/entity/Q52147659>,<http://schema.org/name>,"""Bernardo Malpizzi""@en"

<http://www.wikidata.org/entity/Q52147659>,<http://schema.org/description>,"""Mantuan artist""@en"

<http://www.wikidata.org/entity/Q52147659>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Bernardo Malpicio""@en"

<http://www.wikidata.org/entity/Q52147659>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Bernando Malpizzi""@en"

<http://www.wikidata.org/entity/Q52147659>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Bernardo Malpucci""@en"

<http://www.wikidata.org/entity/Q52154007>,<http://www.wikidata.org/prop/direct/P569>,"""1564-08-28T00:00:00Z""^^<http://www.w3.org/2001/XMLSchema#dateTime>"

<http://www.wikidata.org/entity/Q52153973>,<http://schema.org/name>,"""Johannes Reckschenkel""@en"

<http://www.wikidata.org/entity/Q52154007>,<http://schema.org/name>,"""Josias Murer""@en"

<http://www.wikidata.org/entity/Q52154007>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Josias II Murer""@en"

<http://www.wikidata.org/entity/Q52154007>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Josias, II Maurer""@en"

<http://www.wikidata.org/entity/Q52154007>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Josias, II Murer""@en"

<http://www.wikidata.org/entity/Q52154007>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Josias II Maurer""@en"

<http://www.wikidata.org/entity/Q52154007>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Joseph Maurer""@en"

<http://www.wikidata.org/entity/Q52153973>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Johannes Reckschenkel""@en"

<http://www.wikidata.org/entity/Q52154007>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Josias Murer""@en"

<http://www.wikidata.org/entity/Q52153973>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Johannes Reckschenkel""@en"

<http://www.wikidata.org/entity/Q52154007>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Josias Murer""@en"

<http://www.wikidata.org/entity/Q52147659>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Bernardo Malpizzi""@en"

<http://www.wikidata.org/entity/Q52147659>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Bernardo Malpizzi""@en"

<http://www.wikidata.org/entity/Q825438>,<http://schema.org/name>,"""Bernhard Klein""@en"

<http://www.wikidata.org/entity/Q825438>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Bernhard Klein""@en"

<http://www.wikidata.org/entity/Q825438>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Bernhard Klein""@en"

<http://www.wikidata.org/entity/Q7803>,<http://www.wikidata.org/prop/direct/P569>,"""1503-11-27T00:00:00Z""^^<http://www.w3.org/2001/XMLSchema#dateTime>"

<http://www.wikidata.org/entity/Q1682266>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Jan Schwarz""@en"

<http://www.wikidata.org/entity/Q19833204>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Costanzo""@en"

<http://www.wikidata.org/entity/Q47551>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Tiziano""@en"

<http://www.wikidata.org/entity/Q1121895>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Pastorino""@en"

<http://www.wikidata.org/entity/Q2682240>,<http://schema.org/name>,"""Jan van Aken""@en"

<http://www.wikidata.org/entity/Q2682240>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Jan van Aken""@en"

<http://www.wikidata.org/entity/Q2682240>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Jan van Aken""@en"

<http://www.wikidata.org/entity/Q4675793>,<http://schema.org/name>,"""Jan van Aken""@en"

<http://www.wikidata.org/entity/Q4675793>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Jan van Aken""@en"

<http://www.wikidata.org/entity/Q4675793>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Jan van Aken""@en"

<http://www.wikidata.org/entity/Q6712884>,<http://schema.org/name>,"""Sultan Muhammad""@en"

<http://www.wikidata.org/entity/Q6712884>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Sultan Muhammad""@en"

<http://www.wikidata.org/entity/Q6712884>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Sultan Muhammad""@en"

<http://www.wikidata.org/entity/Q1109888>,<http://schema.org/name>,"""Giuseppe Spatafora""@en"

<http://www.wikidata.org/entity/Q1109888>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Giuseppe Spatafora""@en"

<http://www.wikidata.org/entity/Q1109888>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Giuseppe Spatafora""@en"

<http://www.wikidata.org/entity/Q56706609>,<http://schema.org/name>,"""Yi Sang chwa""@en"

<http://www.wikidata.org/entity/Q56706609>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Yi Sang chwa""@en"

<http://www.wikidata.org/entity/Q56706609>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Yi Sang chwa""@en"

<http://www.wikidata.org/entity/Q76566829>,<http://schema.org/description>,"""Flemish tapissier and manufactory director, died after 1643, active in France""@en"

<http://www.wikidata.org/entity/Q76566829>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Marc de Coomans""@en"

<http://www.wikidata.org/entity/Q76566829>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Marc Comans""@en"

<http://www.wikidata.org/entity/Q76566829>,<http://schema.org/name>,"""Marc de Comans""@en"

<http://www.wikidata.org/entity/Q76566829>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Marc de Comans""@en"

<http://www.wikidata.org/entity/Q76566829>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Marc de Comans""@en"

<http://www.wikidata.org/entity/Q8459>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Giorgioni""@en"

<http://www.wikidata.org/entity/Q442484>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Cornelissen""@en"

<http://www.wikidata.org/entity/Q10361617>,<http://schema.org/name>,"""Abel Schr\u00F8der""@en"

<http://www.wikidata.org/entity/Q10361617>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Abel Schr\u00F8der""@en"

<http://www.wikidata.org/entity/Q10361617>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Abel Schr\u00F8der""@en"

<http://www.wikidata.org/entity/Q976786>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Battista""@en"

<http://www.wikidata.org/entity/Q45693806>,<http://schema.org/name>,"""Jin Run""@en"

<http://www.wikidata.org/entity/Q45693806>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Jin Run""@en"

<http://www.wikidata.org/entity/Q45693806>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Jin Run""@en"

<http://www.wikidata.org/entity/Q117076080>,<http://schema.org/name>,"""Andries de Cuyper""@en"

<http://www.wikidata.org/entity/Q117076080>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Andries de Cuyper""@en"

<http://www.wikidata.org/entity/Q117076080>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Andries de Cuyper""@en"

<http://www.wikidata.org/entity/Q2857518>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Antonio da Viterbo""@en"

<http://www.wikidata.org/entity/Q2575398>,<http://schema.org/name>,"""Vitale da Bologna""@en"

<http://www.wikidata.org/entity/Q2575398>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Vitale da Bologna""@en"

<http://www.wikidata.org/entity/Q2575398>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Vitale da Bologna""@en"

<http://www.wikidata.org/entity/Q108574616>,<http://schema.org/name>,"""Pieter Pietersz III""@en"

<http://www.wikidata.org/entity/Q108574616>,<http://schema.org/description>,"""Dutch artist, 1540 or 1541-""@en"

<http://www.wikidata.org/entity/Q108574616>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Pieter Pietersz III""@en"

<http://www.wikidata.org/entity/Q108574616>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Pieter Pietersz III""@en"

<http://www.wikidata.org/entity/Q15694830>,<http://schema.org/name>,"""Johann Philipp Greter""@en"

<http://www.wikidata.org/entity/Q15694830>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Johann Philipp Greter""@en"

<http://www.wikidata.org/entity/Q15694830>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Johann Philipp Greter""@en"

<http://www.wikidata.org/entity/Q11698893>,<http://schema.org/name>,"""Pere Mates""@en"

<http://www.wikidata.org/entity/Q11698893>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Pere Mates""@en"

<http://www.wikidata.org/entity/Q11698893>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Pere Mates""@en"

<http://www.wikidata.org/entity/Q67350>,<http://schema.org/description>,"""German-Dutch painter, decorator and architect (1540-1599)""@en"

<http://www.wikidata.org/entity/Q67350>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Federico Di Lamberto Sustris Sustris""@en"

<http://www.wikidata.org/entity/Q67350>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Federigo Del Padovano Sustris""@en"

<http://www.wikidata.org/entity/Q67350>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Friedrich Suster""@en"

<http://www.wikidata.org/entity/Q67350>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Friedrich De Lamberto Sustris""@en"

<http://www.wikidata.org/entity/Q67350>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Friedrich de Lamberto""@en"

<http://www.wikidata.org/entity/Q67350>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Friedrich Suchtris""@en"

<http://www.wikidata.org/entity/Q67350>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Friedrich Sustri""@en"

<http://www.wikidata.org/entity/Q67350>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Friedrich Sustrich""@en"

<http://www.wikidata.org/entity/Q67350>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Friedrich Susterus""@en"

<http://www.wikidata.org/entity/Q67350>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Federigo di Lamberto Fiammingo""@en"

<http://www.wikidata.org/entity/Q67350>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""frederik sustris""@en"

<http://www.wikidata.org/entity/Q67350>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""friedr. sustris""@en"

<http://www.wikidata.org/entity/Q67350>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""friedrich sustris""@en"

<http://www.wikidata.org/entity/Q67350>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Frederic Sustris""@en"

<http://www.wikidata.org/entity/Q67350>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Federico di Lamberto Sustris""@en"

<http://www.wikidata.org/entity/Q67350>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Federigo Di Lamberto Fiammingo Sustris""@en"

<http://www.wikidata.org/entity/Q80442>,<http://schema.org/name>,"""Robert Campin""@en"

<http://www.wikidata.org/entity/Q80442>,<http://schema.org/description>,"""Dutch painter, first great master of Flemish and Early Netherlandish painting, 1375\u20131444""@en"

<http://www.wikidata.org/entity/Q80442>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Robert Campin""@en"

<http://www.wikidata.org/entity/Q80442>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Robert Campin""@en"

<http://www.wikidata.org/entity/Q115997>,<http://schema.org/description>,"""Swiss artist (c.1465-c.1520)""@en"

<http://www.wikidata.org/entity/Q115997>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Hans Frieso""@en"

<http://www.wikidata.org/entity/Q118619>,<http://schema.org/name>,"""Nikolaus Glockendon""@en"

<http://www.wikidata.org/entity/Q118619>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Nicolaus,The Elder Glockendon""@en"

<http://www.wikidata.org/entity/Q118619>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Nicolaus, the elder Glockendon""@en"

<http://www.wikidata.org/entity/Q123732>,<http://schema.org/name>,"""Ambrosius Holbein""@en"

<http://www.wikidata.org/entity/Q123732>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Ambrosius Prosy Holbein""@en"

<http://www.wikidata.org/entity/Q96668>,<http://schema.org/name>,"""Berthold Furtmeyr""@en"

<http://www.wikidata.org/entity/Q96668>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Berthold Furtmayr""@en"

<http://www.wikidata.org/entity/Q96668>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Berthold Furtmeyr""@en"

<http://www.wikidata.org/entity/Q96668>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Berthold Furtmeyr""@en"

<http://www.wikidata.org/entity/Q1582652>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Hans Stethaimer""@en"

<http://www.wikidata.org/entity/Q1582652>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Hans Stethaimer""@en"

<http://www.wikidata.org/entity/Q104679>,<http://schema.org/name>,"""Thoman Burgkmair""@en"

<http://www.wikidata.org/entity/Q104679>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Master of the Augsburg Legend of Saint Benedict""@en"

<http://www.wikidata.org/entity/Q104679>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Master of the Augsburg Legend of St Benedict""@en"

<http://www.wikidata.org/entity/Q104679>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Master of the Augsburg Legend of St. Benedict""@en"

<http://www.wikidata.org/entity/Q104679>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Thomas Burgkmair""@en"

<http://www.wikidata.org/entity/Q104679>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Meister der Augsburger Benedikt-Legende""@en"

<http://www.wikidata.org/entity/Q104679>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Thoman Burgkmair""@en"

<http://www.wikidata.org/entity/Q104679>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Thoman Burgkmair""@en"

<http://www.wikidata.org/entity/Q118619>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Nikolaus Glockendon""@en"

<http://www.wikidata.org/entity/Q118619>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Nikolaus Glockendon""@en"

<http://www.wikidata.org/entity/Q121633>,<http://schema.org/name>,"""Daniel Heintz der \u00C4ltere""@en"

<http://www.wikidata.org/entity/Q121633>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Daniel, the elder Heintz""@en"

<http://www.wikidata.org/entity/Q121633>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Daniel Heintz""@en"

<http://www.wikidata.org/entity/Q121633>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Daniel Heintz the Elder""@en"

<http://www.wikidata.org/entity/Q121633>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Daniel Heintz der \u00C4ltere""@en"

<http://www.wikidata.org/entity/Q121633>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Daniel Heintz der \u00C4ltere""@en"

<http://www.wikidata.org/entity/Q123732>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Ambrosius Holbein""@en"

<http://www.wikidata.org/entity/Q123732>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Ambrosy Holbein""@en"

<http://www.wikidata.org/entity/Q123732>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Ambrosius Holbein""@en"

<http://www.wikidata.org/entity/Q123732>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Ambrose Holbein""@en"

<http://www.wikidata.org/entity/Q103137>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Heinrich Beheim""@en"

<http://www.wikidata.org/entity/Q103137>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Heinrich Beheim""@en"

<http://www.wikidata.org/entity/Q117259>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Arent Passer""@en"

<http://www.wikidata.org/entity/Q117259>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Arent Passer""@en"

<http://www.wikidata.org/entity/Q1582652>,<http://schema.org/name>,"""Hans Stethaimer""@en"

<http://www.wikidata.org/entity/Q103137>,<http://schema.org/name>,"""Heinrich Beheim""@en"

<http://www.wikidata.org/entity/Q103137>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Heinrich Bheiheim""@en"

<http://www.wikidata.org/entity/Q117259>,<http://schema.org/name>,"""Arent Passer""@en"

<http://www.wikidata.org/entity/Q4777293>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Antoine Claessens""@en"

<http://www.wikidata.org/entity/Q2261310>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Daniele Delli""@en"

<http://www.wikidata.org/entity/Q16646270>,<http://schema.org/name>,"""Josse de Voltigeant""@en"

<http://www.wikidata.org/entity/Q16646270>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Josse de Voltigeant""@en"

<http://www.wikidata.org/entity/Q16646270>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Josse de Voltigeant""@en"

<http://www.wikidata.org/entity/Q16853453>,<http://schema.org/name>,"""Jan de Molder""@en"

<http://www.wikidata.org/entity/Q16853453>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Jean de Molder""@en"

<http://www.wikidata.org/entity/Q16853453>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Jean Molder""@en"

<http://www.wikidata.org/entity/Q16853453>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Jan de Molener""@en"

<http://www.wikidata.org/entity/Q16853453>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Hennen de Muelenere""@en"

<http://www.wikidata.org/entity/Q16853805>,<http://schema.org/description>,"""Italian painter (1289-1323)""@en"

<http://www.wikidata.org/entity/Q16853805>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Mino da Siena""@en"

<http://www.wikidata.org/entity/Q16853805>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Mino Di Graziano""@en"

<http://www.wikidata.org/entity/Q16853453>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Jan de Molder""@en"

<http://www.wikidata.org/entity/Q16853453>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Jan de Molder""@en"

<http://www.wikidata.org/entity/Q16937802>,<http://schema.org/name>,"""Meister der Meinradlegende""@en"

<http://www.wikidata.org/entity/Q16937802>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Meister der Meinradlegende""@en"

<http://www.wikidata.org/entity/Q16937802>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Meister der Meinradlegende""@en"

<http://www.wikidata.org/entity/Q3182736>,<http://schema.org/name>,"""John White""@en"

<http://www.wikidata.org/entity/Q979474>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Mario""@en"

<http://www.wikidata.org/entity/Q1707972>,<http://schema.org/name>,"""Joseph Schmid""@en"

<http://www.wikidata.org/entity/Q1707972>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Joseph Schmid""@en"

<http://www.wikidata.org/entity/Q3182736>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""John White""@en"

<http://www.wikidata.org/entity/Q1698637>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Willings""@en"

<http://www.wikidata.org/entity/Q3182736>,<http://www.w3.org/2000/01/rdf-schema#label>,"""John White""@en"

<http://www.wikidata.org/entity/Q1707972>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Joseph Schmid""@en"

<http://www.wikidata.org/entity/Q1354018>,<http://schema.org/description>,"""ancient attic-greek black-figure vase-painter""@en"

<http://www.wikidata.org/entity/Q1735991>,<http://schema.org/name>,"""Laacher Samsonmeister""@en"

<http://www.wikidata.org/entity/Q1774130>,<http://schema.org/name>,"""Cleomenes""@en"

<http://www.wikidata.org/entity/Q3338339>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Nerius""@en"

<http://www.wikidata.org/entity/Q1724619>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Meister des Andreas-Altars""@en"

<http://www.wikidata.org/entity/Q1724619>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Meister des Andreas-Altars""@en"

<http://www.wikidata.org/entity/Q1727220>,<http://schema.org/name>,"""Meister der Goslarer Sibyllen""@en"

<http://www.wikidata.org/entity/Q1727220>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Meister der Goslarer Sibyllen""@en"

<http://www.wikidata.org/entity/Q1727220>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Meister der Goslarer Sibyllen""@en"

<http://www.wikidata.org/entity/Q1735991>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Laacher Samsonmeister""@en"

<http://www.wikidata.org/entity/Q1735991>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Laacher Samsonmeister""@en"

<http://www.wikidata.org/entity/Q1740170>,<http://schema.org/name>,"""Meister des Peringsd\u00F6rfer-Altars""@en"

<http://www.wikidata.org/entity/Q1740170>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Meister des Peringsd\u00F6rfer-Altars""@en"

<http://www.wikidata.org/entity/Q1740170>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Meister des Peringsd\u00F6rfer-Altars""@en"

<http://www.wikidata.org/entity/Q672255>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Provost""@en"

<http://www.wikidata.org/entity/Q1774130>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Cleomenes""@en"

<http://www.wikidata.org/entity/Q1774130>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Cleomenes""@en"

<http://www.wikidata.org/entity/Q1774136>,<http://schema.org/name>,"""Cleomenes""@en"

<http://www.wikidata.org/entity/Q1774136>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Cleomenes""@en"

<http://www.wikidata.org/entity/Q1774136>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Cleomenes""@en"

<http://www.wikidata.org/entity/Q1723440>,<http://schema.org/name>,"""Canachus""@en"

<http://www.wikidata.org/entity/Q1723440>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Canachus""@en"

<http://www.wikidata.org/entity/Q1723440>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Canachus""@en"

<http://www.wikidata.org/entity/Q311082>,<http://schema.org/name>,"""Pisanello""@en"

<http://www.wikidata.org/entity/Q311082>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Pisanello""@en"

<http://www.wikidata.org/entity/Q311082>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Pisanello""@en"

<http://www.wikidata.org/entity/Q1727693>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Dario Varottari""@en"

<http://www.wikidata.org/entity/Q3816929>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Prado""@en"

<http://www.wikidata.org/entity/Q1769484>,<http://schema.org/name>,"""Niccol\u00F2 da Bologna""@en"

<http://www.wikidata.org/entity/Q1769484>,<http://schema.org/description>,"""Italian painter (1325-1403)""@en"

<http://www.wikidata.org/entity/Q1769484>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Niccolo da Bologna""@en"

<http://www.wikidata.org/entity/Q1774136>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Cleomenes the Athenian""@en"

<http://www.wikidata.org/entity/Q1784240>,<http://schema.org/name>,"""Korbacher Franziskanermaler""@en"

<http://www.wikidata.org/entity/Q1580861>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Krell""@en"

<http://www.wikidata.org/entity/Q2756150>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Frangipani""@en"

<http://www.wikidata.org/entity/Q1769484>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Niccol\u00F2 da Bologna""@en"

<http://www.wikidata.org/entity/Q1769484>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Niccol\u00F2 da Bologna""@en"

<http://www.wikidata.org/entity/Q1784240>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Korbacher Franziskanermaler""@en"

<http://www.wikidata.org/entity/Q1784240>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Korbacher Franziskanermaler""@en"

<http://www.wikidata.org/entity/Q3105284>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Manni""@en"

<http://www.wikidata.org/entity/Q28790753>,<http://schema.org/name>,"""Joan Des\u00ED""@en"

<http://www.wikidata.org/entity/Q28790753>,<http://schema.org/description>,"""Spanish painter of Majorca""@en"

<http://www.wikidata.org/entity/Q28790753>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Joan Desi""@en"

<http://www.wikidata.org/entity/Q28790753>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Joan Des\u00ED""@en"

<http://www.wikidata.org/entity/Q28790753>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Joan Des\u00ED""@en"

