"instance_id","rdf:type","rdfs:label","prov:wasGeneratedBy"
"viewsari:calavrese-marco-marco-cardisco","viewsari:person","Calavrese, Marco (Marco Cardisco)","viewsari:coreference_reconciliation_run_1"
"viewsari:calcagni-tiberio","viewsari:person","Calcagni, Tiberio","viewsari:coreference_reconciliation_run_1"
"viewsari:caliari-paolo-paolo-veronese","viewsari:person","Caliari, Paolo (Paolo Veronese)","viewsari:coreference_reconciliation_run_1"
"viewsari:camicia-chimenti","viewsari:person","Camicia, Chimenti","viewsari:coreference_reconciliation_run_1"
"viewsari:campagnola-girolamo","viewsari:person","Campagnola, Girolamo","viewsari:coreference_reconciliation_run_1"
"viewsari:campo-giulio","viewsari:person","Campo, Giulio","viewsari:coreference_reconciliation_run_1"
"viewsari:canneri-anselmo","viewsari:person","Canneri, Anselmo","viewsari:coreference_reconciliation_run_1"
"viewsari:capanna-puccio","viewsari:person","Capanna, Puccio","viewsari:coreference_reconciliation_run_1"
"viewsari:caporali-benedetto-giovan-battista","viewsari:person","Caporali, Benedetto (Giovan Battista)","viewsari:coreference_reconciliation_run_1"
"viewsari:caraglio-giovanni-jacopo","viewsari:person","Caraglio, Giovanni Jacopo","viewsari:coreference_reconciliation_run_1"
"viewsari:caravaggio-polidoro-da-polidoro-caldara","viewsari:person","Caravaggio, Polidoro da (Polidoro Caldara)","viewsari:coreference_reconciliation_run_1"
"viewsari:caroto-giovan-francesco","viewsari:person","Caroto, Giovan Francesco","viewsari:coreference_reconciliation_run_1"
"viewsari:caroto-giovanni","viewsari:person","Caroto, Giovanni","viewsari:coreference_reconciliation_run_1"
"viewsari:carpaccio-scarpaccia-vittore","viewsari:person","Carpaccio (Scarpaccia), Vittore","viewsari:coreference_reconciliation_run_1"
"viewsari:carpi-girolamo-da-girolamo-da-ferrara","viewsari:person","Carpi, Girolamo da (Girolamo da Ferrara)","viewsari:coreference_reconciliation_run_1"
"viewsari:carpi-ugo-da","viewsari:person","Carpi, Ugo da","viewsari:coreference_reconciliation_run_1"
"viewsari:casentino-jacopo-di","viewsari:person","Casentino, Jacopo di","viewsari:coreference_reconciliation_run_1"
"viewsari:castagno-andrea-dal-andrea-degli-impiccati","viewsari:person","Castagno, Andrea dal (Andrea degli Impiccati)","viewsari:coreference_reconciliation_run_1"
"viewsari:castelfranco-giorgione-da","viewsari:person","Castelfranco, Giorgione da","viewsari:coreference_reconciliation_run_1"
"viewsari:catanei-piero","viewsari:person","Catanei, Piero","viewsari:coreference_reconciliation_run_1"
"viewsari:cattaneo-danese-danese-da-carrara","viewsari:person","Cattaneo, Danese (Danese da Carrara)","viewsari:coreference_reconciliation_run_1"
"viewsari:cavalieri-giovan-battista-de","viewsari:person","Cavalieri, Giovan Battista de'","viewsari:coreference_reconciliation_run_1"
"viewsari:cavallini-pietro","viewsari:person","Cavallini, Pietro","viewsari:coreference_reconciliation_run_1"
"viewsari:cavazzuola-paolo-paolo-morando","viewsari:person","Cavazzuola, Paolo (Paolo Morando)","viewsari:coreference_reconciliation_run_1"
"viewsari:cecca","viewsari:person","Cecca","viewsari:coreference_reconciliation_run_1"
"viewsari:cellini-baccio","viewsari:person","Cellini, Baccio","viewsari:coreference_reconciliation_run_1"
"viewsari:cellini-benvenuto","viewsari:person","Cellini, Benvenuto","viewsari:coreference_reconciliation_run_1"
"viewsari:ceri-andrea-de","viewsari:person","Ceri, Andrea de'","viewsari:coreference_reconciliation_run_1"
"viewsari:cimabue-giovanni","viewsari:person","Cimabue, Giovanni","viewsari:coreference_reconciliation_run_1"
"viewsari:cinque-battista-del","viewsari:person","Cinque, Battista del","viewsari:coreference_reconciliation_run_1"
"viewsari:cioli-simone","viewsari:person","Cioli, Simone","viewsari:coreference_reconciliation_run_1"
"viewsari:cioli-valerio","viewsari:person","Cioli, Valerio","viewsari:coreference_reconciliation_run_1"
"viewsari:ciuffagni-bernardo","viewsari:person","Ciuffagni, Bernardo","viewsari:coreference_reconciliation_run_1"
"viewsari:claudio-maestro","viewsari:person","Claudio, Maestro","viewsari:coreference_reconciliation_run_1"
"viewsari:cleef-joost-van","viewsari:person","Cleef, Joost van","viewsari:coreference_reconciliation_run_1"
"viewsari:clemente-prospero","viewsari:person","Clemente, Prospero","viewsari:coreference_reconciliation_run_1"
"viewsari:clovio-don-giulio","viewsari:person","Clovio, Don Giulio","viewsari:coreference_reconciliation_run_1"
"viewsari:cock-hieronymus","viewsari:person","Cock, Hieronymus","viewsari:coreference_reconciliation_run_1"
"viewsari:colle-raffaello-dal-raffaello-dal-borgo","viewsari:person","Colle, Raffaello dal (Raffaello dal Borgo)","viewsari:coreference_reconciliation_run_1"
"viewsari:colle-simone-da-simone-de-bronzi","viewsari:person","Colle, Simone da (Simone de' Bronzi)","viewsari:coreference_reconciliation_run_1"
"viewsari:colonna-jacopo","viewsari:person","Colonna, Jacopo","viewsari:coreference_reconciliation_run_1"
"viewsari:condivi-ascanio-ascanio-dalla-ripa-transone","viewsari:person","Condivi, Ascanio (Ascanio dalla Ripa Transone)","viewsari:coreference_reconciliation_run_1"
"viewsari:conte-jacopo-del","viewsari:person","Conte, Jacopo del","viewsari:coreference_reconciliation_run_1"
"viewsari:conti-domenico","viewsari:person","Conti, Domenico","viewsari:coreference_reconciliation_run_1"
"viewsari:contucci-andrea-andrea-sansovino","viewsari:person","Contucci, Andrea (Andrea Sansovino)","viewsari:coreference_reconciliation_run_1"
"viewsari:cordegliaghi-giovanetto","viewsari:person","Cordegliaghi, Giovanetto","viewsari:coreference_reconciliation_run_1"
"viewsari:corniole-giovanni-delle","viewsari:person","Corniole, Giovanni delle","viewsari:coreference_reconciliation_run_1"
"viewsari:correggio-antonio-da","viewsari:person","Correggio, Antonio da","viewsari:coreference_reconciliation_run_1"
"viewsari:cosimo-andrea-di-andrea-di-cosimo-feltrini","viewsari:person","Cosimo, Andrea di (Andrea di Cosimo Feltrini)","viewsari:coreference_reconciliation_run_1"
"viewsari:cosimo-piero-di","viewsari:person","Cosimo, Piero di","viewsari:coreference_reconciliation_run_1"
"viewsari:cosini-silvio-silvio-da-fiesole","viewsari:person","Cosini, Silvio (Silvio da Fiesole)","viewsari:coreference_reconciliation_run_1"
"viewsari:costa-lorenzo","viewsari:person","Costa, Lorenzo","viewsari:coreference_reconciliation_run_1"
"viewsari:cotignola-francesco-da-francesco-de-zaganelli","viewsari:person","Cotignola, Francesco da (Francesco de' Zaganelli","viewsari:coreference_reconciliation_run_1"
"viewsari:cotignola-girolamo-da-girolamo-marchesi","viewsari:person","Cotignola, Girolamo da (Girolamo Marchesi)","viewsari:coreference_reconciliation_run_1"
"viewsari:credi-lorenzo-di","viewsari:person","Credi, Lorenzo di","viewsari:coreference_reconciliation_run_1"
"viewsari:credi-maestro","viewsari:person","Credi, Maestro","viewsari:coreference_reconciliation_run_1"
"viewsari:cristofano","viewsari:person","Cristofano","viewsari:coreference_reconciliation_run_1"
"viewsari:cronaca-il-simone-del-pollaiuolo","viewsari:person","Cronaca, Il (Simone del Pollaiuolo)","viewsari:coreference_reconciliation_run_1"
"viewsari:cungi-battista","viewsari:person","Cungi, Battista","viewsari:coreference_reconciliation_run_1"
"viewsari:d-rer-albrecht","viewsari:person","Dòrer, Albrecht","viewsari:coreference_reconciliation_run_1"
"viewsari:daddi-bernardo","viewsari:person","Daddi, Bernardo","viewsari:coreference_reconciliation_run_1"
