artist1,probability_of_artist1,artist2,probability_of_artist2,shared_probability,pmi_score,pages,paragraphs,volume,pmi_activity,start,end
"Bicci, Lorenzo di",0.002976190476190476,"Lorenzo, Neri di",0.000992063492063492,0.3333333333333333,8.39231742277876,[72],['58.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Montepulciano, Marco da",0.000992063492063492,"Bicci, Lorenzo di",0.002976190476190476,1.0,8.39231742277876,[72],['58.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Lorenzo, Neri di",0.000992063492063492,"Bicci, Lorenzo di",0.002976190476190476,1.0,8.39231742277876,[72],['58.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Eyck, Jan van (Johann of Bruges)",0.000992063492063492,"Messina, Antonello da",0.002976190476190476,1.0,8.39231742277876,[62],['68.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Messina, Antonello da",0.002976190476190476,"Eyck, Jan van (Johann of Bruges)",0.000992063492063492,0.3333333333333333,8.39231742277876,[62],['68.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Licinio, Giovanni Antonio (Cuticello, or Pordenone)",0.002976190476190476,"Amalteo, Pomponio",0.000992063492063492,0.3333333333333333,8.39231742277876,[154],['228.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Amalteo, Pomponio",0.000992063492063492,"Licinio, Giovanni Antonio (Cuticello, or Pordenone)",0.002976190476190476,1.0,8.39231742277876,[154],['228.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Laurati, Pietro (Pietro Lorenzetti)",0.003968253968253968,"Bologhini, Bartolommeo",0.000992063492063492,0.25,7.977279923499917,[120],['161.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Bologhini, Bartolommeo",0.000992063492063492,"Laurati, Pietro (Pietro Lorenzetti)",0.003968253968253968,1.0,7.977279923499917,[120],['161.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Filarete, Antonio",0.003968253968253968,"Partigiani, Pagno di Lapo",0.000992063492063492,0.25,7.977279923499917,[270],['249.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Filarete, Antonio",0.003968253968253968,"Ciuffagni, Bernardo",0.000992063492063492,0.25,7.977279923499917,[7],['7.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Partigiani, Pagno di Lapo",0.000992063492063492,"Filarete, Antonio",0.003968253968253968,1.0,7.977279923499917,[270],['249.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Avanzi, Jacopo (Jacopo Davanzo)",0.001984126984126984,"Zevio, Aldigieri (Altichiero) da",0.001984126984126984,0.5,7.977279923499917,[55],['61.0'],['3'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Fiesole, Mino da (Mino di Giovanni,",0.003968253968253968,"Settignano, Desiderio da",0.001984126984126984,0.5,7.977279923499917,"[154, 155]","['168.0', '170.0']","['2', '2']",pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Settignano, Desiderio da",0.001984126984126984,"Fiesole, Mino da (Mino di Giovanni,",0.003968253968253968,1.0,7.977279923499917,"[154, 155]","['168.0', '170.0']","['2', '2']",pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Ciuffagni, Bernardo",0.000992063492063492,"Filarete, Antonio",0.003968253968253968,1.0,7.977279923499917,[7],['7.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Zevio, Aldigieri (Altichiero) da",0.001984126984126984,"Avanzi, Jacopo (Jacopo Davanzo)",0.001984126984126984,0.5,7.977279923499917,[55],['61.0'],['3'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Dossi, Dosso",0.003968253968253968,"Dossi, Battista",0.001984126984126984,0.5,7.977279923499917,"[140, 141]","['205.0', '207.0']","['4', '4']",pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Marchissi, Antonio di Giorgio",0.000992063492063492,"Fiesole, Andrea da (Andrea Ferrucci)",0.003968253968253968,1.0,7.977279923499917,[4],['2.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Fiesole, Andrea da (Andrea Ferrucci)",0.003968253968253968,"Marchissi, Antonio di Giorgio",0.000992063492063492,0.25,7.977279923499917,[4],['2.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Dossi, Battista",0.001984126984126984,"Dossi, Dosso",0.003968253968253968,1.0,7.977279923499917,"[140, 141]","['205.0', '207.0']","['4', '4']",pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Santa Croce, Girolamo",0.001984126984126984,"Nola, Giovanni da",0.001984126984126984,0.5,7.977279923499917,[137],['200.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Nola, Giovanni da",0.001984126984126984,"Santa Croce, Girolamo",0.001984126984126984,0.5,7.977279923499917,[137],['200.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Orcagna, Andrea di Cione",0.00496031746031746,"Orcagna, Jacopo di Cione",0.000992063492063492,0.2,7.655351828612554,[194],['257.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Orcagna, Andrea di Cione",0.00496031746031746,"Orcagna, Bernardo di Cione",0.000992063492063492,0.2,7.655351828612554,[190],['250.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Cavallini, Pietro",0.00496031746031746,"Angelico, Fra (Fra Giovanni da Fiesole)",0.000992063492063492,0.2,7.655351828612554,[162],['204.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Angelico, Fra (Fra Giovanni da Fiesole)",0.000992063492063492,"Cavallini, Pietro",0.00496031746031746,1.0,7.655351828612554,[162],['204.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Orcagna, Jacopo di Cione",0.000992063492063492,"Orcagna, Andrea di Cione",0.00496031746031746,1.0,7.655351828612554,[194],['257.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Orcagna, Bernardo di Cione",0.000992063492063492,"Orcagna, Andrea di Cione",0.00496031746031746,1.0,7.655351828612554,[190],['250.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Ferrarese, Ercole (Ercole da Ferrara)",0.00496031746031746,"Bolognese, Guido",0.000992063492063492,0.2,7.655351828612554,[170],['186.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Bolognese, Guido",0.000992063492063492,"Ferrarese, Ercole (Ercole da Ferrara)",0.00496031746031746,1.0,7.655351828612554,[170],['186.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Vasari, Giorgio (son of Lazzaro Vasari, the elder)",0.000992063492063492,"Vasari, Lazzaro (the elder)",0.00496031746031746,1.0,7.655351828612554,[54],['61.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Vasari, Lazzaro (the elder)",0.00496031746031746,"Vasari, Giorgio (son of Lazzaro Vasari, the elder)",0.000992063492063492,0.2,7.655351828612554,[54],['61.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Gaddi, Agnolo",0.005952380952380952,"Gaddi, Giovanni",0.000992063492063492,0.16666666666666666,7.392317422778761,[217],['279.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Gaddi, Giovanni",0.000992063492063492,"Gaddi, Agnolo",0.005952380952380952,1.0,7.392317422778761,[217],['279.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Ghiberti, Bartoluccio",0.002976190476190476,"Colle, Simone da (Simone de' Bronzi)",0.001984126984126984,0.3333333333333333,7.392317422778761,[146],['123.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Colle, Simone da (Simone de' Bronzi)",0.001984126984126984,"Ghiberti, Bartoluccio",0.002976190476190476,0.5,7.392317422778761,[146],['123.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Bellini, Gentile",0.005952380952380952,"Vivarino, Luigi",0.000992063492063492,0.16666666666666666,7.392317422778761,[178],['195.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Pollaiuolo, Antonio",0.005952380952380952,"Pollaiuolo, Piero",0.000992063492063492,0.16666666666666666,7.392317422778761,[240],['273.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Romano, Paolo",0.002976190476190476,"Mino, Maestro (Mino del Regno, or del Reame)",0.001984126984126984,0.3333333333333333,7.392317422778761,[91],['101.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Pollaiuolo, Piero",0.000992063492063492,"Pollaiuolo, Antonio",0.005952380952380952,1.0,7.392317422778761,[240],['273.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Mino, Maestro (Mino del Regno, or del Reame)",0.001984126984126984,"Romano, Paolo",0.002976190476190476,0.5,7.392317422778761,[91],['101.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Vivarino, Luigi",0.000992063492063492,"Bellini, Gentile",0.005952380952380952,1.0,7.392317422778761,[178],['195.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Udine, Giovanni da (Giovanni Nanni, or de' Ricamatori)",0.001984126984126984,"Feltro, Morto da",0.002976190476190476,0.5,7.392317422778761,[229],['323.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Licinio, Giovanni Antonio (Cuticello, or Pordenone)",0.002976190476190476,"Vaga, Perino del (Perino Buonaccorsi, or de' Ceri)",0.001984126984126984,0.3333333333333333,7.392317422778761,[153],['226.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Vaga, Perino del (Perino Buonaccorsi, or de' Ceri)",0.001984126984126984,"Licinio, Giovanni Antonio (Cuticello, or Pordenone)",0.002976190476190476,0.5,7.392317422778761,[153],['226.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Feltro, Morto da",0.002976190476190476,"Udine, Giovanni da (Giovanni Nanni, or de' Ricamatori)",0.001984126984126984,0.3333333333333333,7.392317422778761,[229],['323.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Tafi, Andrea",0.006944444444444444,Apollonio,0.000992063492063492,0.14285714285714285,7.169925001442313,[49],['73.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Apollonio,0.000992063492063492,"Tafi, Andrea",0.006944444444444444,1.0,7.169925001442313,[49],['73.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Casentino, Jacopo di",0.006944444444444444,"Daddi, Bernardo",0.000992063492063492,0.14285714285714285,7.169925001442313,[25],['15.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Partigiani, Pagno di Lapo",0.000992063492063492,Michelozzo Michelozzi,0.006944444444444444,1.0,7.169925001442313,[270],['249.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Michelozzo Michelozzi,0.006944444444444444,"Partigiani, Pagno di Lapo",0.000992063492063492,0.14285714285714285,7.169925001442313,[270],['249.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
