"instance_id","rdf:type","rdf_type_2","rdfs:label","frbr:is part of","frbr:has embodiment","rdfs:seeAlso","page_number","biography_slug","vol","level"
"viewsari:the_lives_1568_volume-2_lippo-bio_page_48","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 2, Life of Lippo, Page 48","viewsari:the_lives_1568_volume-2_lippo-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_lippo-bio_page_48","","48","lippo","2","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_lippo-bio_page_48","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Lippo, Page 48","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_lippo-bio","","https://www.gutenberg.org/files/25759/25759-h/25759-h.htm#Page_48","48","lippo","2","manifestation"
"viewsari:the_lives_1568_volume-2_lippo-bio_page_49","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 2, Life of Lippo, Page 49","viewsari:the_lives_1568_volume-2_lippo-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_lippo-bio_page_49","","49","lippo","2","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_lippo-bio_page_49","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Lippo, Page 49","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_lippo-bio","","https://www.gutenberg.org/files/25759/25759-h/25759-h.htm#Page_49","49","lippo","2","manifestation"
"viewsari:the_lives_1568_volume-2_lippo-bio_page_50","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 2, Life of Lippo, Page 50","viewsari:the_lives_1568_volume-2_lippo-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_lippo-bio_page_50","","50","lippo","2","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_lippo-bio_page_50","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Lippo, Page 50","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_lippo-bio","","https://www.gutenberg.org/files/25759/25759-h/25759-h.htm#Page_50","50","lippo","2","manifestation"
"viewsari:the_lives_1568_volume-2_lippo-bio_page_51","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 2, Life of Lippo, Page 51","viewsari:the_lives_1568_volume-2_lippo-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_lippo-bio_page_51","","51","lippo","2","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_lippo-bio_page_51","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Lippo, Page 51","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_lippo-bio","","https://www.gutenberg.org/files/25759/25759-h/25759-h.htm#Page_51","51","lippo","2","manifestation"
"viewsari:the_lives_1568_volume-2_lippo-bio_page_52","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 2, Life of Lippo, Page 52","viewsari:the_lives_1568_volume-2_lippo-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_lippo-bio_page_52","","52","lippo","2","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_lippo-bio_page_52","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Lippo, Page 52","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_lippo-bio","","https://www.gutenberg.org/files/25759/25759-h/25759-h.htm#Page_52","52","lippo","2","manifestation"
"viewsari:the_lives_1568_volume-2_don-lorenzo-monaco-bio_page_53","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 2, Life of Don Lorenzo Monaco, Page 53","viewsari:the_lives_1568_volume-2_don-lorenzo-monaco-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_don-lorenzo-monaco-bio_page_53","","53","don-lorenzo-monaco","2","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_don-lorenzo-monaco-bio_page_53","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Don Lorenzo Monaco, Page 53","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_don-lorenzo-monaco-bio","","https://www.gutenberg.org/files/25759/25759-h/25759-h.htm#Page_53","53","don-lorenzo-monaco","2","manifestation"
"viewsari:the_lives_1568_volume-2_don-lorenzo-monaco-bio_page_54","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 2, Life of Don Lorenzo Monaco, Page 54","viewsari:the_lives_1568_volume-2_don-lorenzo-monaco-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_don-lorenzo-monaco-bio_page_54","","54","don-lorenzo-monaco","2","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_don-lorenzo-monaco-bio_page_54","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Don Lorenzo Monaco, Page 54","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_don-lorenzo-monaco-bio","","https://www.gutenberg.org/files/25759/25759-h/25759-h.htm#Page_54","54","don-lorenzo-monaco","2","manifestation"
"viewsari:the_lives_1568_volume-2_don-lorenzo-monaco-bio_page_55","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 2, Life of Don Lorenzo Monaco, Page 55","viewsari:the_lives_1568_volume-2_don-lorenzo-monaco-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_don-lorenzo-monaco-bio_page_55","","55","don-lorenzo-monaco","2","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_don-lorenzo-monaco-bio_page_55","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Don Lorenzo Monaco, Page 55","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_don-lorenzo-monaco-bio","","https://www.gutenberg.org/files/25759/25759-h/25759-h.htm#Page_55","55","don-lorenzo-monaco","2","manifestation"
