"instance_id","rdf:type","rdf_type_2","rdfs:label","frbr:is part of","frbr:has embodiment","rdfs:seeAlso","start_page","vol","level"
"viewsari:the_lives_1568_volume-5_sebastiano-del-piombo-bio","viewsari:biography","fabio:Expression","Life of Fra Sebastiano Viniziano del Piombo","viewsari:the_lives_1568_volume-5","viewsari:the_lives_1568_gutenberg_web_version_of_volume-5_sebastiano-del-piombo-bio","","121","5","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-5_sebastiano-del-piombo-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Fra Sebastiano Viniziano del Piombo (Volume 5)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-5","","https://www.gutenberg.org/files/28421/28421-h/28421-h.htm#Page_121","121","5","manifestation"
"viewsari:the_lives_1568_volume-5_perino-del-vaga-bio","viewsari:biography","fabio:Expression","Life of Perino del Vaga","viewsari:the_lives_1568_volume-5","viewsari:the_lives_1568_gutenberg_web_version_of_volume-5_perino-del-vaga-bio","","141","5","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-5_perino-del-vaga-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Perino del Vaga (Volume 5)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-5","","https://www.gutenberg.org/files/28421/28421-h/28421-h.htm#Page_141","141","5","manifestation"
"viewsari:the_lives_1568_volume-5_lappoli-bio","viewsari:biography","fabio:Expression","Life of Giovanni Antonio Lappoli","viewsari:the_lives_1568_volume-5","viewsari:the_lives_1568_gutenberg_web_version_of_volume-5_lappoli-bio","","187","5","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-5_lappoli-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Giovanni Antonio Lappoli (Volume 5)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-5","","https://www.gutenberg.org/files/28421/28421-h/28421-h.htm#Page_187","187","5","manifestation"
"viewsari:the_lives_1568_volume-5_niccolo-soggi-bio","viewsari:biography","fabio:Expression","Life of Niccolo Soggi","viewsari:the_lives_1568_volume-5","viewsari:the_lives_1568_gutenberg_web_version_of_volume-5_niccolo-soggi-bio","","193","5","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-5_niccolo-soggi-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Niccolo Soggi (Volume 5)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-5","","https://www.gutenberg.org/files/28421/28421-h/28421-h.htm#Page_193","193","5","manifestation"
"viewsari:the_lives_1568_volume-5_lorenzo-lotto-bio","viewsari:biography","fabio:Expression","Life of Lorenzo Lotto","viewsari:the_lives_1568_volume-5","viewsari:the_lives_1568_gutenberg_web_version_of_volume-5_lorenzo-lotto-bio","","199","5","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-5_lorenzo-lotto-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Lorenzo Lotto (Volume 5)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-5","","https://www.gutenberg.org/files/28421/28421-h/28421-h.htm#Page_199","199","5","manifestation"
"viewsari:the_lives_1568_volume-6_fra-giocondo-bio","viewsari:biography","fabio:Expression","Life of Fra Giocondo and Liberale and Others","viewsari:the_lives_1568_volume-6","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_fra-giocondo-bio","","1","6","expression"
