,0
143,"Buffalmacco, Buonamico"
144,"San Gallo, Aristotile (Bastiano) da"
145,"Bandinelli, Baccio (Baccio de' Brandini)"
146,"Vecelli, Tiziano (Tiziano da Cadore)"
147,"Genga, Bartolommeo"
148,"Contucci, Andrea (Andrea Sansovino)"
149,"Uccello, Paolo"
150,"Pontormo, Jacopo da (Jacopo Carrucci)"
151,"Sanzio, Raffaello (Raffaello da Urbino)"
152,"Pinturicchio, Bernardino"
153,"Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)"
154,"Sogliani, Giovanni Antonio"
155,"Montelupo, Baccio da"
156,"Giocondo, Fra"
157,"Bugiardini, Giuliano"
158,"Buonarroti, Michelagnolo"
159,"Franco, Battista (Battista Semolei)"
160,"Lippi, Fra Filippo"
161,"Ghiberti, Bonaccorso"
162,Cristofano
163,"Verona, Sebeto da"
164,"Marchissi, Antonio di Giorgio"
165,"Ceri, Andrea de'"
166,"Menzochi, Francesco (Francesco da Forlï¿½)"
167,"Melone, Altobello da"
168,"Moretto, Alessandro (Alessandro Bonvicini)"
169,"Solari, Cristofano (Cristofano Gobbo)"
170,"Cinque, Battista del"
171,"Lastricati, Zanobi"
172,"Bernazzano, Cesare"
173,"Cotignola, Francesco da (Francesco de' Zaganelli"
174,"Cattaneo, Danese (Danese da Carrara)"
175,"Caroto, Giovanni"
176,"Prato, Francesco di Girolamo dal"
177,"Buda, Girolamo del"
178,"Ruspoli, Ilarione"
179,"Daddi, Bernardo"
180,"Mino, Maestro (Mino del Regno, or del Reame)"
181,"Ciuffagni, Bernardo"
182,"Ghirlandajo, Benedetto"
183,"Pistoia, Il (Leonardo)"
184,"Liefrinck, Hans"
185,"Dente, Marco (Marco da Ravenna)"
186,"Como, Guido da"
187,"Tedesco, Jacopo (Lapo)"
188,"Bologhini, Bartolommeo"
189,"Pollaiuolo, Piero"
190,Graffione
191,"Caraglio, Giovanni Jacopo"
192,"Marmita, Lodovico"
193,"Sant' Agnolo, Francesco"
194,"Porri, Daniello (Daniello da Parma)"
195,"Aretino, Leone (Leone Lioni)"
196,Agnolo (of Siena)
197,"Gaddi, Giovanni"
198,"Donzello, Polito del"
199,"Vivarino, Luigi"
200,Fivizzano
201,"Caporali, Benedetto (Giovan Battista)"
202,"Pisano, Nino"
203,"Forlï¿½, Melozzo da"
204,"Pisanello, Vittore or Antonio"
205,"Squarcione, Jacopo"
206,"Marcilla, Guglielmo da (Guillaume de Marcillac)"
207,Maturino
208,"Memmi, Lippo"
209,Matteo (of Lucca)
210,Apelles
211,Biagio (pupil of Botticelli)
212,"Credi, Maestro"
213,"Lunetti, Tommaso di Stefano"
214,"Amalteo, Pomponio"
215,"Soiaro, Bernardo (Bernardo de' Gatti)"
216,"Robbia, Agostino della"
217,Nunziata
218,"Cosini, Silvio (Silvio da Fiesole)"
219,"Libri, Girolamo dai"
220,"Farinato, Battista (Battista da Verona)"
221,"Mazzoni, Giulio"
222,"Marchetti, Marco (Marco da Faenza)"
223,Parrhasius
224,"Tasso, Domenico del"
225,"Barile, Gian (of Florence)"
226,"Fontana, Prospero"
227,"Viniziano, Domenico (Domenico da Venezia)"
