"instance_id","rdf:type","rdfs:label","viewsari:involves","viewsari:involves_2","prov:wasGeneratedBy"
"viewsari:cooccurrence_baz-bec_1","viewsari:cooccurrence","Co-occurrence of Bazzi, Giovanni Antonio (Il Sodoma) and Beccafumi, Domenico (Domenico di Pace), Vol. 6, Para. 356","viewsari:bazzi-giovanni-antonio-il-sodoma","viewsari:beccafumi-domenico-domenico-di-pace","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_bec-duc_1","viewsari:cooccurrence","Co-occurrence of Beccafumi, Domenico (Domenico di Pace) and Duccio, Vol. 6, Para. 369","viewsari:beccafumi-domenico-domenico-di-pace","viewsari:duccio","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_bec-sog_1","viewsari:cooccurrence","Co-occurrence of Beccafumi, Domenico (Domenico di Pace) and Sogliani, Giovanni Antonio, Vol. 6, Para. 372","viewsari:beccafumi-domenico-domenico-di-pace","viewsari:sogliani-giovanni-antonio","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_bec-cat_1","viewsari:cooccurrence","Co-occurrence of Beccafumi, Domenico (Domenico di Pace) and Catanei, Piero, Vol. 6, Para. 376","viewsari:beccafumi-domenico-domenico-di-pace","viewsari:catanei-piero","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_lap-pon_1","viewsari:cooccurrence","Co-occurrence of Lappoli, Giovanni Antonio and Pontormo, Jacopo da (Jacopo Carrucci), Vol. 6, Para. 380","viewsari:lappoli-giovanni-antonio","viewsari:pontormo-jacopo-da-jacopo-carrucci","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_lap-ros_1","viewsari:cooccurrence","Co-occurrence of Lappoli, Giovanni Antonio and Rosso, Il (Giovan Battista de' Rossi), Vol. 6, Para. 386","viewsari:lappoli-giovanni-antonio","viewsari:rosso-il-giovan-battista-de-rossi","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_ros-vas_1","viewsari:cooccurrence","Co-occurrence of Rosso, Il (Giovan Battista de' Rossi) and Vasari, Giorgio, Vol. 6, Para. 386","viewsari:rosso-il-giovan-battista-de-rossi","viewsari:vasari-giorgio","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_lap-vas_1","viewsari:cooccurrence","Co-occurrence of Lappoli, Giovanni Antonio and Vasari, Giorgio, Vol. 6, Para. 389","viewsari:lappoli-giovanni-antonio","viewsari:vasari-giorgio","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_clo-tor_1","viewsari:cooccurrence","Co-occurrence of Clovio, Don Giulio and Torri, Bartolommeo, Vol. 6, Para. 392","viewsari:clovio-don-giulio","viewsari:torri-bartolommeo","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_tri-ung_1","viewsari:cooccurrence","Co-occurrence of Tribolo (Niccolò) and Unghero, Nanni, Vol. 7, Para. 2","viewsari:tribolo-niccol","viewsari:unghero-nanni","viewsari:cooccurrence_extraction_run_1"
