instance_id,n_distinct_pairs,n_distinct_persons,involves,involves_2,label
viewsari:cooccurrence_buo-san_2,3,4,viewsari:buonarroti-michelagnolo,viewsari:sanzio-raffaello-raffaello-da-urbino,"Co-occurrence of Buonarroti, Michelagnolo and Sanzio, Raffaello (Raffaello da Urbino), Vol. 6, Para. 355"
viewsari:cooccurrence_buo-san_2,3,4,viewsari:buonarroti-michelagnolo,viewsari:san-gallo-antonio-da-the-younger,"Co-occurrence of Buonarroti, Michelagnolo and San Gallo, Antonio da (the younger), Vol. 8, Para. 130"
viewsari:cooccurrence_buo-san_2,3,4,viewsari:buonarroti-michelagnolo,viewsari:san-gallo-giuliano-da,"Co-occurrence of Buonarroti, Michelagnolo and San Gallo, Giuliano da, Vol. 9, Para. 30"
viewsari:cooccurrence_buo-san_3,2,3,viewsari:buonarroti-michelagnolo,viewsari:sanzio-raffaello-raffaello-da-urbino,"Co-occurrence of Buonarroti, Michelagnolo and Sanzio, Raffaello (Raffaello da Urbino), Vol. 9, Para. 28"
viewsari:cooccurrence_buo-san_3,2,3,viewsari:buonarroti-michelagnolo,viewsari:san-gallo-antonio-da-the-younger,"Co-occurrence of Buonarroti, Michelagnolo and San Gallo, Antonio da (the younger), Vol. 9, Para. 74"
viewsari:cooccurrence_cal-vec_1,2,3,viewsari:caliari-paolo-paolo-veronese,viewsari:vecelli-orazio,"Co-occurrence of Caliari, Paolo (Paolo Veronese) and Vecelli, Orazio, Vol. 8, Para. 149"
viewsari:cooccurrence_cal-vec_1,2,3,viewsari:caliari-paolo-paolo-veronese,viewsari:vecelli-tiziano-tiziano-da-cadore,"Co-occurrence of Caliari, Paolo (Paolo Veronese) and Vecelli, Tiziano (Tiziano da Cadore), Vol. 8, Para. 149"
viewsari:cooccurrence_car-vec_1,2,3,viewsari:caraglio-giovanni-jacopo,viewsari:vecelli-tiziano-tiziano-da-cadore,"Co-occurrence of Caraglio, Giovanni Jacopo and Vecelli, Tiziano (Tiziano da Cadore), Vol. 6, Para. 188"
viewsari:cooccurrence_car-vec_1,2,3,viewsari:carpi-girolamo-da-girolamo-da-ferrara,viewsari:vecelli-tiziano-tiziano-da-cadore,"Co-occurrence of Carpi, Girolamo da (Girolamo da Ferrara) and Vecelli, Tiziano (Tiziano da Cadore), Vol. 8, Para. 43"
viewsari:cooccurrence_cas-vin_1,2,4,viewsari:castagno-andrea-dal-andrea-degli-impiccati,viewsari:viniziano-domenico-domenico-da-venezia,"Co-occurrence of Castagno, Andrea dal (Andrea degli Impiccati) and Viniziano, Domenico (Domenico da Venezia), Vol. 3, Para. 116"
viewsari:cooccurrence_cas-vin_1,2,4,viewsari:castelfranco-giorgione-da,viewsari:vinci-leonardo-da,"Co-occurrence of Castelfranco, Giorgione da and Vinci, Leonardo da, Vol. 4, Para. 139"
viewsari:cooccurrence_col-ghi_1,2,3,viewsari:colle-simone-da-simone-de-bronzi,viewsari:ghiberti-bartoluccio,"Co-occurrence of Colle, Simone da (Simone de' Bronzi) and Ghiberti, Bartoluccio, Vol. 2, Para. 123"
viewsari:cooccurrence_col-ghi_1,2,3,viewsari:colle-simone-da-simone-de-bronzi,viewsari:ghiberti-lorenzo-lorenzo-di-bartoluccio-ghiberti-or-lorenzo-di-cione-ghiberti,"Co-occurrence of Colle, Simone da (Simone de' Bronzi) and Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti), Vol. 2, Para. 180"
viewsari:cooccurrence_con-mon_1,2,3,viewsari:contucci-andrea-andrea-sansovino,viewsari:montelupo-baccio-da,"Co-occurrence of Contucci, Andrea (Andrea Sansovino) and Montelupo, Baccio da, Vol. 5, Para. 53"
viewsari:cooccurrence_con-mon_1,2,3,viewsari:contucci-andrea-andrea-sansovino,viewsari:montelupo-raffaello-da,"Co-occurrence of Contucci, Andrea (Andrea Sansovino) and Montelupo, Raffaello da, Vol. 5, Para. 53"
viewsari:cooccurrence_cos-ros_1,3,4,viewsari:cosimo-andrea-di-andrea-di-cosimo-feltrini,viewsari:rosselli-cosimo,"Co-occurrence of Cosimo, Andrea di (Andrea di Cosimo Feltrini) and Rosselli, Cosimo, Vol. 3, Para. 216"
viewsari:cooccurrence_cos-ros_1,3,4,viewsari:cosimo-piero-di,viewsari:rosselli-cosimo,"Co-occurrence of Cosimo, Piero di and Rosselli, Cosimo, Vol. 4, Para. 159"
viewsari:cooccurrence_cos-ros_1,3,4,viewsari:cosimo-andrea-di-andrea-di-cosimo-feltrini,viewsari:rosso-il-giovan-battista-de-rossi,"Co-occurrence of Cosimo, Andrea di (Andrea di Cosimo Feltrini) and Rosso, Il (Giovan Battista de' Rossi), Vol. 7, Para. 188"
viewsari:cooccurrence_cos-sar_1,2,3,viewsari:cosimo-piero-di,viewsari:sarto-andrea-del-andrea-d-agnolo,"Co-occurrence of Cosimo, Piero di and Sarto, Andrea del (Andrea d' Agnolo), Vol. 5, Para. 116"
viewsari:cooccurrence_cos-sar_1,2,3,viewsari:cosimo-andrea-di-andrea-di-cosimo-feltrini,viewsari:sarto-andrea-del-andrea-d-agnolo,"Co-occurrence of Cosimo, Andrea di (Andrea di Cosimo Feltrini) and Sarto, Andrea del (Andrea d' Agnolo), Vol. 7, Para. 189"
viewsari:cooccurrence_dia-lip_1,2,3,viewsari:diamante-fra,viewsari:lippi-filippo-filippino,"Co-occurrence of Diamante, Fra and Lippi, Filippo (Filippino), Vol. 3, Para. 96"
viewsari:cooccurrence_dia-lip_1,2,3,viewsari:diamante-fra,viewsari:lippi-fra-filippo,"Co-occurrence of Diamante, Fra and Lippi, Fra Filippo, Vol. 3, Para. 96"
viewsari:cooccurrence_don-ghi_1,3,4,viewsari:donato-donatello,viewsari:ghiberti-bartoluccio,"Co-occurrence of Donato (Donatello) and Ghiberti, Bartoluccio, Vol. 2, Para. 123"
viewsari:cooccurrence_don-ghi_1,3,4,viewsari:donato-donatello,viewsari:ghiberti-lorenzo-lorenzo-di-bartoluccio-ghiberti-or-lorenzo-di-cione-ghiberti,"Co-occurrence of Donato (Donatello) and Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti), Vol. 2, Para. 182"
viewsari:cooccurrence_don-ghi_1,3,4,viewsari:donato-donatello,viewsari:ghirlandajo-domenico,"Co-occurrence of Donato (Donatello) and Ghirlandajo, Domenico, Vol. 9, Para. 6"
viewsari:cooccurrence_don-mai_1,2,3,viewsari:donzello-polito-del,viewsari:maiano-benedetto-da,"Co-occurrence of Donzello, Polito del and Maiano, Benedetto da, Vol. 3, Para. 14"
viewsari:cooccurrence_don-mai_1,2,3,viewsari:donzello-polito-del,viewsari:maiano-giuliano-da,"Co-occurrence of Donzello, Polito del and Maiano, Giuliano da, Vol. 3, Para. 14"
viewsari:cooccurrence_fra-san_1,3,5,viewsari:francia-francesco,viewsari:sanzio-raffaello-raffaello-da-urbino,"Co-occurrence of Francia, Francesco and Sanzio, Raffaello (Raffaello da Urbino), Vol. 4, Para. 28"
viewsari:cooccurrence_fra-san_1,3,5,viewsari:franco-battista-battista-semolei,viewsari:san-gallo-antonio-da-the-younger,"Co-occurrence of Franco, Battista (Battista Semolei) and San Gallo, Antonio da (the younger), Vol. 8, Para. 130"
viewsari:cooccurrence_fra-san_1,3,5,viewsari:franco-battista-battista-semolei,viewsari:sansovino-jacopo-jacopo-tatti,"Co-occurrence of Franco, Battista (Battista Semolei) and Sansovino, Jacopo (Jacopo Tatti), Vol. 8, Para. 145"
viewsari:cooccurrence_gad-gad_1,3,3,viewsari:gaddi-giovanni,viewsari:gaddi-taddeo,"Co-occurrence of Gaddi, Giovanni and Gaddi, Taddeo, Vol. 1, Para. 245"
viewsari:cooccurrence_gad-gad_1,3,3,viewsari:gaddi-agnolo,viewsari:gaddi-giovanni,"Co-occurrence of Gaddi, Agnolo and Gaddi, Giovanni, Vol. 1, Para. 279"
viewsari:cooccurrence_gad-gad_1,3,3,viewsari:gaddi-agnolo,viewsari:gaddi-taddeo,"Co-occurrence of Gaddi, Agnolo and Gaddi, Taddeo, Vol. 1, Para. 280"
viewsari:cooccurrence_gad-gio_1,2,3,viewsari:gaddi-gaddo,viewsari:giotto,"Co-occurrence of Gaddi, Gaddo and Giotto, Vol. 1, Para. 229"
viewsari:cooccurrence_gad-gio_1,2,3,viewsari:gaddi-taddeo,viewsari:giotto,"Co-occurrence of Gaddi, Taddeo and Giotto, Vol. 1, Para. 246"
viewsari:cooccurrence_ghi-ghi_1,8,9,viewsari:ghiberti-bartoluccio,viewsari:ghiberti-lorenzo-lorenzo-di-bartoluccio-ghiberti-or-lorenzo-di-cione-ghiberti,"Co-occurrence of Ghiberti, Bartoluccio and Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti), Vol. 2, Para. 119"
viewsari:cooccurrence_ghi-ghi_1,8,9,viewsari:ghiberti-bonaccorso,viewsari:ghiberti-lorenzo-lorenzo-di-bartoluccio-ghiberti-or-lorenzo-di-cione-ghiberti,"Co-occurrence of Ghiberti, Bonaccorso and Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti), Vol. 2, Para. 143"
viewsari:cooccurrence_ghi-ghi_1,8,9,viewsari:ghiberti-lorenzo-lorenzo-di-bartoluccio-ghiberti-or-lorenzo-di-cione-ghiberti,viewsari:ghiberti-vittorio,"Co-occurrence of Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti) and Ghiberti, Vittorio, Vol. 2, Para. 147"
