instance_id,rdf:type,oa:start,oa:end
viewsari:position-selector_25011,doco:TextPositionSelector,920,931
viewsari:position-selector_25012,doco:TextPositionSelector,266,479
viewsari:position-selector_25013,doco:TextPositionSelector,282,308
viewsari:position-selector_25014,doco:TextPositionSelector,181,257
viewsari:position-selector_25015,doco:TextPositionSelector,723,769
viewsari:position-selector_25016,doco:TextPositionSelector,840,1167
viewsari:position-selector_25017,doco:TextPositionSelector,840,1214
viewsari:position-selector_25018,doco:TextPositionSelector,1150,1214
viewsari:position-selector_25019,doco:TextPositionSelector,926,1010
viewsari:position-selector_25020,doco:TextPositionSelector,625,866
viewsari:position-selector_25021,doco:TextPositionSelector,625,791
viewsari:position-selector_25022,doco:TextPositionSelector,1148,1174
viewsari:position-selector_25023,doco:TextPositionSelector,1131,1159
viewsari:position-selector_25024,doco:TextPositionSelector,197,244
viewsari:position-selector_25025,doco:TextPositionSelector,554,568
viewsari:position-selector_25026,doco:TextPositionSelector,2322,2345
viewsari:position-selector_25027,doco:TextPositionSelector,734,1136
viewsari:position-selector_25028,doco:TextPositionSelector,1120,1214
viewsari:position-selector_25029,doco:TextPositionSelector,774,798
viewsari:position-selector_25030,doco:TextPositionSelector,675,693
viewsari:position-selector_25031,doco:TextPositionSelector,108,168
viewsari:position-selector_25032,doco:TextPositionSelector,151,184
viewsari:position-selector_25033,doco:TextPositionSelector,545,555
viewsari:position-selector_25034,doco:TextPositionSelector,222,252
viewsari:position-selector_25035,doco:TextPositionSelector,113,123
viewsari:position-selector_25036,doco:TextPositionSelector,139,478
viewsari:position-selector_25037,doco:TextPositionSelector,462,495
viewsari:position-selector_25038,doco:TextPositionSelector,0,44
viewsari:position-selector_25039,doco:TextPositionSelector,648,688
viewsari:position-selector_25040,doco:TextPositionSelector,385,397
viewsari:position-selector_25041,doco:TextPositionSelector,477,487
viewsari:position-selector_25042,doco:TextPositionSelector,214,245
viewsari:position-selector_25043,doco:TextPositionSelector,236,249
viewsari:position-selector_25044,doco:TextPositionSelector,408,422
viewsari:position-selector_25045,doco:TextPositionSelector,1197,1247
viewsari:position-selector_25046,doco:TextPositionSelector,952,978
viewsari:position-selector_25047,doco:TextPositionSelector,263,276
viewsari:position-selector_25048,doco:TextPositionSelector,981,998
viewsari:position-selector_25049,doco:TextPositionSelector,971,998
viewsari:position-selector_25050,doco:TextPositionSelector,542,562
viewsari:position-selector_25051,doco:TextPositionSelector,611,670
viewsari:position-selector_25052,doco:TextPositionSelector,611,670
viewsari:position-selector_25053,doco:TextPositionSelector,1113,1243
viewsari:position-selector_25054,doco:TextPositionSelector,1113,1243
viewsari:position-selector_25055,doco:TextPositionSelector,778,834
viewsari:position-selector_25056,doco:TextPositionSelector,592,617
viewsari:position-selector_25057,doco:TextPositionSelector,476,493
viewsari:position-selector_25058,doco:TextPositionSelector,1542,1604
viewsari:position-selector_25059,doco:TextPositionSelector,91,156
viewsari:position-selector_25060,doco:TextPositionSelector,403,413
viewsari:position-selector_25061,doco:TextPositionSelector,497,524
viewsari:position-selector_25062,doco:TextPositionSelector,514,566
